fdc_id,food_name,calories,protein,carbs,fat,source
320007,"HUMMUS, OTHER",,,,,USDA
320008,"HUMMUS, OTHER",,,,,USDA
320009,"HUMMUS, OTHER",,,,,USDA
320010,"HUMMUS, OTHER",,,,,USDA
320011,Hummus - NFY12142M,,,,,USDA
320012,Hummus - NFY12142N,,,,,USDA
320013,Hummus,,,,18.8,USDA
320014,Hummus,,,,,USDA
320015,Hummus,,,,,USDA
320016,Hummus,,,,,USDA
320017,Hummus,,,,,USDA
320018,Hummus - NFY12142O,,,,,USDA
320019,Hummus - NFY12142P,,,,,USDA
320020,Hummus - NFY12142Q,,,,,USDA
320021,Hummus - NFY12142R,,,,,USDA
320022,Hummus - NFY12142G,,,,,USDA
320023,"Hummus, Other - AZ, IN",,,,,USDA
320025,"MILK, 2% (WAVE 22E)",,,,,USDA
320026,"MILK, 2% (WAVE 22E)",,,,,USDA
320027,"MILK, 2% ",,,,1.8,USDA
320028,"MILK, 2% ",,,,,USDA
320029,"MILK, 2% ",,,,,USDA
320030,"MILK, 2% (WAVE 22E)",,,,,USDA
320031,"MILK, 2% (WAVE 22E)",,,,,USDA
320032,"MILK, 2% (WAVE 22E)",,,,,USDA
320033,"MILK, 2% ",,,,1.91,USDA
320034,"MILK, 2% ",,,,,USDA
320035,"MILK, 2% ",,,,,USDA
320036,"MILK, 2% (WAVE 22E)",,,,,USDA
320037,"MILK, 2% (WAVE 22E)",,,,,USDA
320038,"MILK, 2% (WAVE 22E)",,,,,USDA
320039,"MILK, 2% ",,,,1.92,USDA
320040,"MILK, 2% ",,,,,USDA
320041,"MILK, 2% ",,,,,USDA
320042,"MILK, 2% (WAVE 22E)",,,,,USDA
320043,"MILK, 2% (WAVE 22E)",,,,,USDA
320044,"MILK, 2% (WAVE 22E)",,,,,USDA
320045,"MILK, 2% ",,,,,USDA
320046,"MILK, 2% ",,,,,USDA
320047,"MILK, 2% ",,,,1.92,USDA
320048,"MILK, 2% ",,,,,USDA
320049,"MILK, 2% ",,,,,USDA
320050,"MILK, 2% ",,,,,USDA
320051,"MILK, 2% ",,,,,USDA
320052,"MILK, 2% ",,,,,USDA
320053,"MILK, 2% ",,,,,USDA
320054,"MILK, 2% ",,,,,USDA
320055,"Milk, 2%",,,,,USDA
320056,"Milk, 2%",,,,,USDA
320057,"Milk, 2%",,,,,USDA
320058,"Milk, 2%",,,,,USDA
320059,"Milk, 2%",,,,,USDA
320060,"MILK, 2% (WAVE 22E)",,,,,USDA
320061,"MILK, 2% (WAVE 22E)",,,,,USDA
320062,"MILK, 2% (WAVE 22E)",,,,,USDA
320063,"MILK, 2% (WAVE 22E)",,,,,USDA
320064,"MILK, 2% ",,,,,USDA
320065,"MILK, 2% ",,,,,USDA
320066,"MILK, 2% ",,,,1.91,USDA
320067,"MILK, 2% ",,,,,USDA
320068,"MILK, 2% ",,,,,USDA
320069,"MILK, 2% ",,,,,USDA
320070,"MILK, 2% ",,,,,USDA
320071,"MILK, 2% ",,,,,USDA
320072,"MILK, 2% ",,,,,USDA
320073,"MILK, 2% ",,,,,USDA
320074,"MILK, 2% ",,,,,USDA
320075,"MILK, 2% ",,,,,USDA
320076,"MILK, 2% ",,,,,USDA
320077,"Milk, 2%",,,,,USDA
320078,"Milk, 2%",,,,,USDA
320079,"Milk, 2%",,,,,USDA
320080,"Milk, 2%",,,,,USDA
320081,"Milk, 2%",,,,,USDA
320082,"Milk, 2%",,,,,USDA
320083,"MILK, 2% (WAVE 22E)",,,,,USDA
320084,"MILK, 2% (WAVE 22E)",,,,,USDA
320085,"MILK, 2% (WAVE 22E)",,,,,USDA
320086,"MILK, 2% (WAVE 22E)",,,,,USDA
320087,"MILK, 2% ",,,,,USDA
320088,"MILK, 2% ",,,,,USDA
320089,"MILK, 2% ",,,,1.97,USDA
320090,"MILK, 2% ",,,,,USDA
320091,"MILK, 2% ",,,,,USDA
320092,"MILK, 2% ",,,,,USDA
320093,"MILK, 2% ",,,,,USDA
320094,"MILK, 2% ",,,,,USDA
320095,"MILK, 2% ",,,,,USDA
320096,"MILK, 2% ",,,,,USDA
320097,"Milk, 2%",,,,,USDA
320098,"Milk, 2%",,,,,USDA
320099,"Milk, 2%",,,,,USDA
320100,"Milk, 2%",,,,,USDA
320101,"Milk, 2%",,,,,USDA
320102,"MILK, 2% (WAVE 22E)",,,,,USDA
320103,"MILK, 2% (WAVE 22E)",,,,,USDA
320104,"MILK, 2% (WAVE 22E)",,,,,USDA
320105,"MILK, 2% (WAVE 22E)",,,,,USDA
320106,"MILK, 2% ",,,,,USDA
320107,"MILK, 2% ",,,,,USDA
320108,"MILK, 2% ",,,,1.87,USDA
320109,"MILK, 2% ",,,,,USDA
320110,"MILK, 2% ",,,,,USDA
320111,"MILK, 2% ",,,,,USDA
320112,"MILK, 2% ",,,,,USDA
320113,"MILK, 2% ",,,,,USDA
320114,"MILK, 2% ",,,,,USDA
320115,"MILK, 2% ",,,,,USDA
320116,"Milk, 2%",,,,,USDA
320117,"Milk, 2%",,,,,USDA
320118,"Milk, 2%",,,,,USDA
320119,"Milk, 2%",,,,,USDA
320120,"Milk, 2%",,,,,USDA
320121,"Milk, 2%",,,,,USDA
